team1,team2,venue,toss_winner,toss_decision,winner,date
England,Australia,The Rose Bowl,England,field,Australia,2013-08-29
England,Australia,The Rose Bowl,Australia,bat,England,2013-08-29
England,Australia,Riverside Ground,England,field,England,2013-08-31
England,Australia,Riverside Ground,Australia,field,England,2013-08-31
South Africa,Bangladesh,Senwes Park,Bangladesh,bat,South Africa,2013-09-14
South Africa,Bangladesh,Senwes Park,South Africa,bat,South Africa,2013-09-15
India,Australia,Saurashtra Cricket Association Stadium,India,field,India,2013-10-10
South Africa,Sri Lanka,Senwes Park,South Africa,field,South Africa,2013-10-31
South Africa,Sri Lanka,Senwes Park,South Africa,field,Sri Lanka,2013-11-02
South Africa,Sri Lanka,Senwes Park,South Africa,field,South Africa,2013-11-04
Bangladesh,New Zealand,Shere Bangla National Stadium,New Zealand,bat,New Zealand,2013-11-06
Pakistan,South Africa,Dubai International Cricket Stadium,Pakistan,bat,South Africa,2013-11-13
Pakistan,South Africa,Dubai International Cricket Stadium,South Africa,bat,South Africa,2013-11-15
Canada,Ireland,Sheikh Zayed Stadium,Canada,field,Ireland,2013-11-16
Kenya,Scotland,ICC Academy,Kenya,bat,Kenya,2013-11-19
South Africa,Pakistan,New Wanderers Stadium,Pakistan,field,South Africa,2013-11-20
