team1,team2,venue,toss_winner,toss_decision,winner,date,team1_matches_played,team1_win_rate,team1_form_5,team2_matches_played,team2_win_rate,team2_form_5,team1_h2h_wins,team2_h2h_wins,team1_venue_matches,team1_venue_win_rate,team2_venue_matches,team2_venue_win_rate,team1_won_toss,team2_won_toss
India,Sri Lanka,"Vidarbha Cricket Association Stadium, Jamtha",India,0,Sri Lanka,2009-12-09,17,0.5294117647058824,1,21,0.5714285714285714,1,1,0,0,0.0,0,0.0,1,0
India,Sri Lanka,"Punjab Cricket Association Stadium, Mohali",Sri Lanka,1,India,2009-12-12,18,0.5,0,22,0.5909090909090909,1,1,1,0,0.0,0,0.0,0,1
New Zealand,Bangladesh,Seddon Park,Bangladesh,1,New Zealand,2010-02-03,29,0.4482758620689655,3,12,0.16666666666666666,0,0,0,1,1.0,0,0.0,0,1
Australia,Pakistan,Melbourne Cricket Ground,Australia,1,Australia,2010-02-05,25,0.48,1,23,0.8260869565217391,5,0,2,2,1.0,0,0.0,1,0
Canada,Netherlands,Dubai International Cricket Stadium,Canada,1,Netherlands,2010-02-09,0,0.0,0,3,0.6666666666666666,2,0,0,0,0.0,0,0.0,1,0
Canada,Kenya,Dubai International Cricket Stadium,Kenya,0,Kenya,2010-02-10,1,0.0,0,5,0.0,0,0,0,1,0.0,0,0.0,0,1
Ireland,Scotland,Dubai International Cricket Stadium,Ireland,1,Ireland,2010-02-11,6,0.3333333333333333,1,5,0.2,1,0,0,0,0.0,0,0.0,1,0
Ireland,Netherlands,Dubai International Cricket Stadium,Ireland,1,Ireland,2010-02-13,7,0.42857142857142855,1,4,0.75,3,0,0,1,1.0,1,1.0,1,0
England,Pakistan,Dubai International Cricket Stadium,Pakistan,1,England,2010-02-19,24,0.4166666666666667,2,24,0.7916666666666666,4,1,1,0,0.0,3,1.0,0,1
England,Pakistan,Dubai International Cricket Stadium,Pakistan,0,Pakistan,2010-02-20,25,0.44,3,25,0.76,3,2,1,1,1.0,4,0.75,0,1
Australia,West Indies,Bellerive Oval,Australia,1,Australia,2010-02-21,26,0.5,2,17,0.5294117647058824,3,0,2,0,0.0,0,0.0,1,0
Australia,West Indies,Sydney Cricket Ground,West Indies,1,Australia,2010-02-23,27,0.5185185185185185,3,18,0.5,3,1,2,2,1.0,0,0.0,0,1
New Zealand,Australia,Westpac Stadium,New Zealand,1,Australia,2010-02-26,30,0.4666666666666667,3,28,0.5357142857142857,4,0,3,2,0.5,0,0.0,1,0
West Indies,Zimbabwe,"Queen's Park Oval, Port of Spain",Zimbabwe,1,Zimbabwe,2010-02-28,19,0.47368421052631576,2,2,0.5,1,0,0,1,1.0,0,0.0,0,1
